Source,Property_ID,Delinquent_Balance,Location_Info
NYC,3076110073,100000.58,"Account: undefined"
NYC,3057420057,100000.79,"Account: undefined"
NYC,1018420057,100000.8,"Account: undefined"
NYC,1008950067,100000.82,"Account: undefined"
NYC,5026470021,100001.18,"Account: undefined"
NYC,4004460010,100002.02,"Account: undefined"
NYC,4004460010,100002.02,"Account: undefined"
NYC,4004460010,100002.02,"Account: undefined"
NYC,3048910001,100002.44,"Account: undefined"
NYC,2025240064,100004.16,"Account: undefined"
NYC,2025240064,100004.16,"Account: undefined"
NYC,2025240064,100004.16,"Account: undefined"
NYC,1005880048,100004.19,"Account: undefined"
NYC,1005880048,100004.19,"Account: undefined"
NYC,1005880048,100004.19,"Account: undefined"
NYC,1005880048,100004.19,"Account: undefined"
NYC,1005880048,100004.19,"Account: undefined"
NYC,1005880048,100004.19,"Account: undefined"
NYC,1005880048,100004.19,"Account: undefined"
NYC,2024881002,100004.71,"Account: undefined"