Score,Title,Distress_Signal,Action,Link
6,"Fixer Upper - Orlando FL Real Estate - 10 Homes For Sale","High concentration of fixer-uppers indicating properties requiring significant rehab budget.","Review individual listings to identify properties with at least a 30% discount to neighborhood ARV (After Repair Value).",https://www.zillow.com/orlando-fl/fixer-upper_att/
6,"Price Reduced Homes for Sale in Orlando FL","Broad price drops indicating softening seller leverage and listing stagnation.","Set up automated daily alerts for properties with price drops greater than 10% to catch motivated sellers early.",https://www.zillow.com/orlando-fl/price-reduced/
7,"Price Reduced Homes for Sale in Orlando FL (Page 20)","Stale listings deep in search results with ongoing price cuts, pointing to highly fatigued sellers.","Analyze listings on this page that have been active for 60+ days and submit low-ball cash offers.",https://www.zillow.com/orlando-fl/price-reduced/20_p/
8,"1808 Fredrica Dr, Orlando, FL 32812","Explicitly states 'MUST SELL', 'MOTIVATED SELLER', and taking backup offers (AWC status).","Submit a backup offer immediately with flexible terms (e.g., quick close, no contingencies) to capitalize if the current deal falls through.",https://www.zillow.com/homedetails/1808-Fredrica-Dr-Orlando-FL-32812/46055447_zpid/
7,"Fixer Upper - 32811 Real Estate - 4 Homes For Sale","Hyper-local cluster of fixer-uppers in the 32811 zip code.","Conduct physical drive-bys (driving for dollars) in 32811 to find adjacent off-market distressed properties.",https://www.zillow.com/orlando-fl-32811/fixer-upper_att/
4,"Hank Buys Homes - Real Estate Professional in Orlando, FL","Professional specializes in Tax Liens, Fixer Uppers, and Quick Closes (not a direct deal).","Contact Hank to establish a professional partnership and get added to his buyer's list for off-market wholesale deals.",https://www.zillow.com/profile/HankBuysHomes
6,"Price Reduced Homes for Sale in Doctor Phillips FL","Price reductions occurring in an upscale, typically high-demand submarket (Doctor Phillips).","Look for high-equity condo or single-family properties to acquire as high-end rentals or luxury flips.",https://www.zillow.com/doctor-phillips-fl/price-reduced/
5,"Buyers Can Expect 12 Percent More Fixer-Upper Homes ...","Macro data showing Orlando fixer-upper inventory is up 34.7% compared to 5 years ago.","Leverage this growing inventory trend to negotiate harder on repair credits and purchase prices with local sellers.",https://www.zillow.com/news/buyers-can-expect-12-percent-more-fixer-upper-homes-for-sale-compared-to-5-years-ago/
5,"Price Reduced Homes for Sale in Christmas FL","Price drops in a secondary, rural Orlando submarket indicating lower liquidity and demand.","Evaluate properties for land value or cash-flowing rural rental potential if bought at a steep discount.",https://www.zillow.com/christmas-fl/price-reduced/
9,"3627 Spring Land Dr, Orlando, FL 32818","Explicit 'Motivated Seller' signal combined with 'Make An OFFER' and tenant-occupied complications ($1100/mo).","Contact the owner/listing agent to present a fast-closing cash offer to relieve them of landlord duties and reposition the asset.",https://www.zillow.com/homedetails/3627-Spring-Land-Dr-Orlando-FL-32818/46099186_zpid/